CO_CND,NO2_CND,Rain,Wind,Temperature,CO-Delhi1,CO-Delhi2,CO-Delhi3,CO-Delhi4,CO-Delhi5,NO2-Delhi1,NO2-Delhi2,NO2-Delhi3,NO2-Delhi4,NO2-Delhi5
0.0393328,,0.002499865,2.18453,303.629,,,,,,,0.000103562,0.000149426,0.00020648,
0.0403272,8.69E-05,0.009469722,2.4638,301.551,,,,,0.0422636,0.000103562,0.000149426,0.00020648,,0.000117704
0.0390919,8.33E-05,0.007254478,1.89766,300.936,,,,0.0422636,0.0446126,0.000149426,0.00020648,,0.000117704,0.000212571
0.0408003,7.78E-05,0.003185691,1.82694,302.147,,,0.0422636,0.0446126,0.0381569,0.00020648,,0.000117704,0.000212571,0.000106321
0.0396328,,0.000867607,1.98361,303.273,,0.0422636,0.0446126,0.0381569,0.0386784,,0.000117704,0.000212571,0.000106321,0.000105755
0.0426768,9.63E-05,0.002060162,1.9151,303.553,0.0422636,0.0446126,0.0381569,0.0386784,0.0429469,0.000117704,0.000212571,0.000106321,0.000105755,0.000189718
0.0422451,9.42E-05,0.007539424,2.43539,302.226,0.0446126,0.0381569,0.0386784,0.0429469,0.0386149,0.000212571,0.000106321,0.000105755,0.000189718,0.000134224
0.0378942,7.43E-05,0.005143325,2.41918,302.277,0.0381569,0.0386784,0.0429469,0.0386149,,0.000106321,0.000105755,0.000189718,0.000134224,9.49E-05
0.0377976,0.00007278,0.005466093,2.89431,301.537,0.0386784,0.0429469,0.0386149,,0.0363068,0.000105755,0.000189718,0.000134224,9.49E-05,0.000105087
0.0385414,7.63E-05,0.004352279,1.76342,302.315,0.0429469,0.0386149,,0.0363068,0.0342333,0.000189718,0.000134224,9.49E-05,0.000105087,0.000120474
0.0377337,8.05E-05,0.001217479,1.79088,302.94,0.0386149,,0.0363068,0.0342333,0.0339898,0.000134224,9.49E-05,0.000105087,0.000120474,0.000133184
0.0377239,8.63E-05,0.00107657,2.96814,302.815,,0.0363068,0.0342333,0.0339898,0.0315642,9.49E-05,0.000105087,0.000120474,0.000133184,0.000100643
0.0375815,0.000083965,0.001063621,2.89523,302.724,0.0363068,0.0342333,0.0339898,0.0315642,0.0352786,0.000105087,0.000120474,0.000133184,0.000100643,0.000107002
0.0341013,7.99E-05,0.00012166,2.23638,302.395,0.0342333,0.0339898,0.0315642,0.0352786,0.0335358,0.000120474,0.000133184,0.000100643,0.000107002,0.000118147
0.033107,7.90E-05,0.000225577,1.88766,302.174,0.0339898,0.0315642,0.0352786,0.0335358,0.0368245,0.000133184,0.000100643,0.000107002,0.000118147,0.000125864
0.0312072,8.01E-05,7.82E-05,2.25383,302.03,0.0315642,0.0352786,0.0335358,0.0368245,0.0406831,0.000100643,0.000107002,0.000118147,0.000125864,0.000181824
0.0341499,8.20E-05,0.000205325,2.39268,302.016,0.0352786,0.0335358,0.0368245,0.0406831,0.0359048,0.000107002,0.000118147,0.000125864,0.000181824,0.000134528
0.0334906,9.12E-05,5.83E-08,2.21039,302.352,0.0335358,0.0368245,0.0406831,0.0359048,,0.000118147,0.000125864,0.000181824,0.000134528,
0.0339958,8.99E-05,1.93E-06,2.01738,302.559,0.0368245,0.0406831,0.0359048,,0.0376842,0.000125864,0.000181824,0.000134528,,
0.035328,9.15E-05,4.67E-05,2.00472,303.245,0.0406831,0.0359048,,0.0376842,0.0439936,0.000181824,0.000134528,,,0.000148044
0.0347136,8.39E-05,0.003435258,3.51927,302.518,0.0359048,,0.0376842,0.0439936,0.0348474,0.000134528,,,0.000148044,8.34E-05
,,0.057980289,4.07262,297.093,,0.0376842,0.0439936,0.0348474,0.0339564,,,0.000148044,8.34E-05,
0.0375564,0.000115227,0.056625198,4.07629,296.888,0.0376842,0.0439936,0.0348474,0.0339564,0.0350759,,0.000148044,8.34E-05,,0.000130566
